Item Title,Abstract,label
"Multi-objective Optimization for Visual, Thermal, and Energy Performance of Glazing and Shading Assemblies in Temperate Climate Zone of India","With rapid urbanization and higher energy demand, high-performance building design has drawn attention to the challenges for a sustainable built environment. Climate-adaptive envelope parameters have a significant interactive impact on building social, environmental, and economic performance. This research purposed a multi-objective optimization (MOO) approach to evaluate building performance including visual comfort, thermal comfort, and energy demand simultaneously. A residential apartment building situated in a temperate climatic zone (Köppen climate classification: Bsh) of Bangalore (India) was chosen as a case study. The optimization was initiated with Rhinoceros tools and Grasshopper in order to maximize the useful daylight illuminance (UDI) and minimize the thermal discomfort percentage (TDP) and the energy use intensity (EUI). The Octopus plugin of Grasshopper was used to explore the building envelope parameters such as wall–window ratio (WWR), window height, window sill height, external louvers depth, external louvers count, louvers angle, vertical fins depth, vertical fins count, glazing conductivity ( U -value), solar heat gain coefficient (SHGC), and visible light transmittance (VLT) to achieve the good balance (trade-off solution) between building performance objectives. The trade-off solution improves the UDI, TDP, and EUI by 46.19%, 30.44%, and 22.65%, respectively, from the initial generated optimal solution. The outcome of this research illustrates how optimization methodology can be useful for building professionals in the early design stage of building envelopes to ensure a healthy and comfortable indoor environment with minimum energy demand.",Energy Engineering
Characterizations of Cyclic Combustion Variations in RCCI Engine Using Multifractal Detrended Fluctuations Analysis,"This study experimentally investigated the cyclic variations and partial burn in reactivity-controlled compression ignition (RCCI) engines. Multifractal Detrended Fluctuations Analysis (MFDFA) is employed for the purpose of describing cyclic variations and partial burn. The experiments are carried out on a modified diesel engine. Diesel is injected directly into the cylinder, whereas petrol is introduced into the inlet manifold via the port-injection system to facilitate RCCI combustion. This study explores the influence of the gasoline/diesel premixing ratio \(\left( {r_{p} } \right)\) on combustion stability and partial burn. It was found that the cyclic variations in CA 10 , CA 50 , and COV IMEP increased with \(r_{p}\) . Results indicate that the percentage of misfiring cycles increased from 36.4% to 83.1% when \(r_{p}\) increased from 40 to 50%. MFDFA analysis shows that total heat release (THR) time series becomes anti-persistent and its degree of multifractality decreases with \(r_{p}\) . The multifractal analysis also shows that THR, CA 10, and CA 50 have large fluctuations at smaller scales, and these fluctuations are persistent in nature, while smaller fluctuations at large scales are anti-persistent in nature.",Energy Engineering
Computational Workflow for Investigating Hydrogen Permeation in Novel Hydrogen Storage Materials,"The United States Department of Energy (DOE) has set ambitious targets for hydrogen storage materials for onboard light-duty cars which are to be achieved by 2027. One of the major problems in solid hydrogen storage materials is the sluggish uptake/release kinetics. Much attention has been focused on understanding kinetics. Hydrogen solid-state diffusion is a rate-controlling step in the majority of metal hydrides. Here we discuss computational workflow which can be used to estimate hydrogen diffusivity. A detailed study of hydrogen concentration, hydrogen neighbors is performed on nickel hydride (NiH) fcc materials to understand their effect on H diffusion. The nudged elastic band (NEB) method is used to determine hydrogen diffusion barrier with various hydrogen concentrations in presence of hydrogen neighbors. The energy barriers for hydrogen hopping were calculated for few million different configurations with various local chemical environments. Two paths for H hopping from one octahedral site to a vacant neighbor octahedral site are identified: one path is straight, and the other is curved via tetrahedral site. The curved path shows diffusion faster than the straight path. This study demonstrates that H diffusion is faster at higher hydrogen concentration, as the concomitant volume expansion lowers the energy barrier.",Energy Engineering
An Empirical Study on Factors Influencing Energy Efficiency in Metal Industry Cluster,"Micro, small and medium enterprises (MSMEs) are crucial to the Indian economy. The majority of the metal manufacturing industries exist in clusters. In the contemporary globalized world, such clusters’ survival and expansion depend on three critical sustainability characteristics: economic, environmental, and social. The first two dimensions of energy-intensive metal industries depend on the efficient use of energy, which is a critical input in their operations. Improved energy efficiency (EE) contributes to increased competitiveness through cost reduction and reduced environmental damage. However, understanding the elements that influence EE is critical for its advancement. This research investigates these aspects in metal sector clusters that use energy. Cobb–Douglas production function based on source data from eighty metal industries is used to determine the relevance of energy input. The energy efficiency level is calculated in terms of Specific Energy Consumption, and the Principal Component Analysis (PCA) approach is used to identify variables impacting energy efficiency. Multiple regression models are used to explore and analyse these variables. Through analysis, it has been found that, the economic and attitudinal factors are most contributing towards energy efficiency in metal manufacturing industries. Whereas, government policies, subsidy, and personal factors are least contributing.",Energy Engineering
Modelling and Analysis of Gas Turbine Fog Cooling System,"Fog cooling is one of the most efficient and economical methods to cool the inlet air of the gas turbine to improve the performance. In this paper, firstly a model has been developed to estimate the cooling of ambient air by fog cooling method. The model is based on basic thermodynamics and psychometry process and analyses the effect of ambient condition (temperature and relative humidity) on inlet air cooling. Secondly, power and heat rate models are developed which is based on characteristics curve of heavy-duty and aero-derivative gas turbine. In order to comprehensively understand the effects of fogging, a sensitivity study, by varying the ambient condition, was conducted. For each gas turbine, five values of ambient inlet air temperature (25, 30, 35, 40, and 45 °C) and relative humidity (20, 30, 40, 50, and 60%), were examined. For all 25 cases analysed, the maximum cooling and power augmentation is achieved for high ambient temperature and low relative humidity at 45 °C and 20% relative humidity. The aero-derivative gas turbine is more sensitive to ambient condition and for the same ambient condition (45 °C and 20% relative humidity) achieves up to 21.417% power augmentation, as compared to heavy-duty gas turbine (18.807%). The paper is intended to provide a simple method to evaluate the potential of power augmentation by using air cooling potential of the fog cooling technique and that can be useful for the gas turbine users and manufacturers.",Energy Engineering
Environmentally Extended MRIO-SDA Analysis on India’s $$\text {CO}_2$$ Emissions During 2005–2014,"To understand and combat global environmental issues, there is a rapidly growing interest in using Multi-Regional Input-Output Analysis (MRIO) and Structural Decomposition Analysis (SDA). However, the methodology tends to be rigorous, creating a significant barrier to the use of such techniques by researchers in the field. This paper aims to provide a detailed framework which can be used to conduct an environmentally extended MRIO-SDA analysis while employing open-source data and packages. This foundation enables an examination of the trends in and the drivers of India’s total change in \(\text {CO}_2\) emissions for 2005–2014. The results are consistent with the existing literature—India is a net exporter of \(\text {CO}_2\) emissions with sectors like Manufacturing, Electricity, Commercial and Public Services and Construction engendering considerable change in emissions embodied in trade. Moreover, the demand effect is the most significant contributor to the rise in India’s total emissions. Replication material is available in the Supplementary Section.",Energy Engineering
Evaluation of Optimal Weibull Parameter for Wind Resource Assessment at Coastal Terrain by Metaheuristic Optimization Algorithms Using Reanalysis Data,"This study focuses on evaluating wind resources at a coastal terrain in India by optimizing the parameters of the Weibull distribution. The research utilizes a 22-year dataset from NASA MERRA-2 reanalysis to analyze wind characteristics. The Weibull probability distribution is used, and the shape (k) and scale (A) parameters are determined through three different numerical techniques [modified maximum likelihood method (MMLM), empirical method of Lysen (EML), and method of moment (MOM)] along with two metaheuristic optimization algorithms [particle swarm optimization (PSO) and genetic algorithm (GA)] at a height of 50 m. The accuracy of the methods is assessed using goodness of fit tests, RMSE, and R 2 . The results indicate that all parameter estimation methods are suitable, but the MMLM is the most accurate for evaluating wind potential. As compared to GA, PSO was shown to be more efficient. These findings are anticipated to contribute to existing knowledge on probabilistic modeling of wind resources and the usefulness of MERRA-2 in assessing wind resources.",Energy Engineering
Comparative Analysis of Two Different Storage Modules for Techno-Economically Optimum and Environmentally Benign Decentralized Hybrid Energy Systems for EV Charging Stations: A Case Study of Kolkata,"Ever-increasing passenger and freight traffic increases the global demand for transportation systems. It is projected to double by 2050. Such growth in the transportation sector represents the economic and environmental development of the society. It increases the energy consumption and environmental emissions that must need to be addressed. To meet the sustainable development goal (SDG 7), transportation sector must follow the emerging energy generation systems trajectory. The increased EV demand increases the energy consumption that may create disturbances in the centralized grid system’s stability. It also increases the electricity cost. To reduce this critical challenge, developing overall sustainable decentralized hybrid energy system-based EV charging stations is the global need. This study aims to analyze techno-economic and environmental performance aspects of different energy combinations integrated with two different emerging storage modules for developing overall sustainable energy solutions. The analysis result shows that the combination of photovoltaic-wind-DG-lithium-ion is techno-economically optimal (cost of electricity—$0.204/kWh) with least environmental impact.",Energy Engineering
"Assessment of Extent of Crystallization of CuCl2 (From Quaternary System of CuCl, CuCl2, HCl, and Water) and Its Limiting Conditions in Crystallization Step of Thermochemical Cu–Cl Cycle","Cu–Cl thermochemical cycle is a promising process for generation of hydrogen without emission of greenhouse gases. It involves four steps viz electrolysis, crystallization, hydrolysis, and thermolysis to achieve overall splitting of water into hydrogen and oxygen in a closed loop. In the electrolysis step of the cycle, electrolyzer produces hydrogen gas and its effluent (spent electrolyzer solution) consists of quaternary system comprising CuCl 2 , CuCl, HCl, and water. The composition of the electrolyzer effluent may vary based on electrolyzer operating conditions. This effluent is fed to crystallizer to separate CuCl 2 crystals which are utilized in hydrolysis step, while the remaining liquid is recycled back as part of the feed to the electrolyzer. Thus, crystallization step is essential for sustained cyclic operation. Owing to narrow range of conditions under which this crystallization occurs, every electrolyzer effluent may not yield crystals on cooling. This makes investigations on the extent of crystallization and its limiting conditions for processing electrolyzer effluent of varying composition important. Experiments are conducted for different electrolytic conversion, acidity, crystallization temperature, and residence time considering 2 M CuCl as the electrolyzer feed. Few experiments have also been done for different feed concentration of CuCl keeping conversion same. The experiments have been conducted with simulated electrolyzer effluent. The crystallization is found to produce needle-shaped bright green colored crystals of different sizes with varying yield based on experimental conditions. XRD analysis of product samples show CuCl 2 /CuCl 2 .2H 2 O crystals. This study throws light on crystallization operation for varying electrolyzer effluent compositions and operating conditions of interest.",Energy Engineering
Evaluation of Building Energy Efficiency Measures Using Statistical Simulation,"The research work in this article estimates the potential energy savings of a typical office building located in Bengaluru, India, by implementing 3 ECMs (Energy Conservative Measures): AHU Economizer, Window film application, and lighting control. Since cooling and lighting account for major part of building energy consumption, the ECMs here are focused to reduce these demands. A simulation model was developed by modeling building envelope, HVAC, and lighting system using EnergyPlus and the ECM savings were obtained from this building energy model. The savings obtained from typical deterministic simulation model are for nominal conditions and the same cannot be guaranteed at site level due to uncertainty involved in modeling inputs. Hence examining the effect of uncertainty in modeling inputs would be of major focus in this work. Uncertainty in parameters like building construction, weather, occupancy, plug loads, and infiltration was examined which are expected to play vital role in building energy consumption. Energy savings obtained by implementing ECMs were obtained from simulation model and uncertainty analysis quantified the probability of such savings. Two ECM, i.e., application of window film and implementation of linear lighting control showed good probability of saving site energy. Implementation of air side economizer in AHU showed probability of increase in energy consumption instead. Considering uncertainties in the input parameters and analyzing their impact on the energy savings would help building owners to choose appropriate ECMs.",Energy Engineering
Opto-Thermal Design and Analysis of a 1 MW Panel Solar Central Receiver for Small-Scale Applications,"This paper discusses the design and analysis of a panel receiver for the solar tower, with the objective of designing a suitable receiver for a small-scale solar tower plant. The plant is intended to have a high temperature (> 450 °C) thermal power output of 1 MW to be used for charging thermal storage for various applications like backup for a thermal power plant or metallurgical applications like heat treatment. The heat flux distribution on the panel receiver has been obtained using a radial staggered heliostat field with centre of the receiver as aiming point. This design and analysis of the panel receiver has been done for Bikaner, India on spring equinox, solar noon. The thermal efficiency of this designed receiver comes out to be 79.5%.",Energy Engineering
Economic Viability Analysis of Rooftop Solar and Vertically Mounted BAPV on a Multi-storied Commercial Building in Kolkata,"This paper aims to study the cost–benefit analysis of a project of 883 kW P having a combination of rooftop solar plant along with vertically mounted solar modules on building façades at a multi-storied commercial building located at Newtown, Kolkata. Both operational energy consumption and renewable energy generation are simulated. The building energy consumption profile is assessed through whole building energy simulation using eQUEST as the simulation tool. PVsyst is used to design and simulate the rooftop solar plant along with vertically mounted BAPV on building walls. The study showed that 40% of the annual energy requirement for the building could be met through on-site renewable generation. Based on the different cost parameters, the economic feasibility of the study is checked for an operational tenure of 27 years. The cost–benefit analysis showed the project to be economically profitable beyond 11 years of operation.",Energy Engineering
Investigation of Cooling Performance of Hybrid Battery Thermal Management System Using Nanoparticle-Enhanced Composite PCM and Nanofluid-Charged Pulsating Heat Pipe for Electric Vehicles,"Electric vehicles (EVs) are becoming a popular choice for consumers. Battery thermal management system (BTMS) is an active research area as battery overheating leads to lower battery life and fire hazards. In this work, a hybrid BTMS is proposed using a composite PCM (Paraffin 1 wt.% Fe 3 O 4 nanoparticle) and a nanofluid (2 wt.% CuO + Fe 3 O 4 -water)-charged pulsating heat pipe. An experimental investigation is conducted to investigate the performance of this hybrid BTMS. A module of six substitute batteries is considered as a heat source, which generates equivalent heat generated by 18,650 lithium-ion battery cells operating at a 3C discharge rate. The findings indicate that when utilizing natural convection cooling at the PHP condenser, the PCM reduces 28.21 °C in cell surface temperature. On the other hand, when employing forced convection cooling, the reduction is 16.43 °C compared to baseline results without the hybrid BTMS.",Energy Engineering
Assessing the Impact of Integrating Triangular Grooves on the Performance of a Double Pass Solar Air Heater,"An extensive literature survey on a double pass solar air heater (DPSAH) contributed to the idea that the inclusion of fins, grooves, ribs, etc. on the absorber plate increased their performance. So, a numerical study for the enhancement of thermal and hydraulic performance of a DPSAH has been done. Equilateral triangular-shaped grooves of 15 mm length were placed at 50 mm from each other. The length, breadth and height of the solar air heater are 1014 mm, 350 mm and 72 mm respectively with a relative height ratio, i.e. e/H value of 0.4. A constant and continuous heat flux of 880 W/m 2 was supplied on the roughened absorber plate. The entire computational work was carried out using ANSYS 23.0 software and the RNG k − ε turbulence model was used for the simulation. By performing the grid test, 2 mm grid size was considered for further analysis. And with the Reynolds number (Re) ranging between 3000–15,000 different values of the Nusselt number (Nu) and friction factor (f) were obtained. The Nu and f of the DPSAH with triangular grooved absorber plate is compared with that of a flat absorber plate to obtain the thermo-hydraulic performance parameter (THPP). The maximum THPP obtained is 3.29 at Re 3000 which is higher than the contemporary models.",Energy Engineering
Representative Days for the Calculation of Annual Optical Efficiency of Solar Tower Systems,"A solar tower system primarily consists of a collector field of heliostat mirrors and a heat collection unit called the receiver. The ability of the heliostat mirrors to concentrate the solar radiation on the receiver is termed the optical performance. It is necessary to predict the optical performance of an SPT system as accurately as possible. The optical performance of the SPT system depends on the position of the sun primarily, which varies with the time of day. Considering many time instants from each day, for multiple days of the year, the prediction of annual optical performance is computationally expensive. For this reason, a set of dates may be used to represent an entire year, and discrete time points at regular intervals can be chosen. Therefore, the accuracy of the predicted optical efficiency may depend on the choice of the dates selected to represent the entire year. In this study, multiple sets of dates and discrete time intervals have been considered. The annual optical efficiency predicted based on the calculation at each 1 min time interval for 365 days is considered to be the standard for comparison. It was observed that annual optical efficiency can be predicted with sufficient accuracy when only four days of the year are chosen as the representative days, thus reducing the computational burden.",Energy Engineering
Energy and Exergy Analysis of Evacuated Tube Solar Air Heater for Air Heating Applications,"In today’s world, energy has become one of the basic infrastructures for economic development. Making use of solar energy in every sphere of development is essential to keep the environment clean and reduce dependency on fossil fuels. The primary objective of this research work is to conduct a performance assessment of an evacuated tube solar air heater system installed at the lab. The paper discusses the energy and exergy analysis of a 8 Sq. Mt Solar Evacuated Tube Collector (ETC) for the climatic conditions of Surat city, India. Various performance parameters like useful energy gain, collector's energy and exergy efficiency, and sensible energy storage for the ETC are worked out with different air mass flow rates. The hot air produced by the evacuated tube solar air collector can be used for various process heat applications such as space heating, food processing, dairy production, sun drying, and water desalination.",Energy Engineering
A Multi-Mode Energy Analysis of Direct Expansion Heat Pump System,"Heat pumps are energy-efficient and sustainable water heating systems. The paper reports an experimental energy analysis of direct expansion solar-assisted heat pump (DX-SAHP) water heater under weather conditions in Alandi (D), Pune, India. The system proposed a novel wavy finned evaporator with a surface area of 0.42 m 2 and was tested under three modes: solar, air, and solar-air hybrid. The DX-SAHP water heater was evaluated using the COP for heating. The average COP was 1.15 for all modes, with an average solar radiation of 250W. The water temperature could reach up to 55 °C in an hour. The DX-SAHP system is efficient for domestic hot water and drying applications.",Energy Engineering
Effect of Chord Radius on Performance of Hydrokinetic Turbine,"The energy flow rate per unit flow area of water flow is quite high compared to airflow. This is because of the high density of water compared to that of air. Hence, a hydrokinetic turbine has the potential to extract more power compared to a wind turbine for the same size of a turbine. The Darrius turbine is one of the best options that can be used as a hydrokinetic turbine due to its high coefficient of power. In the present work, the experimental investigations are carried out to study the hydrodynamic performance of three bladed Darrieus turbine with NACA0012. The effect of five different chord radius are investigated with numerical simulations, as a basic profile of the Darrieus turbine vanes. The result indicates that, the optimum performance of the turbine is obtained for CRR = 2 (chord radius = 500 mm) which is 12.5% higher than that of the conventional NACA 0018 profile of turbine vanes. The maximum torque of the turbine is obtained for CRR = 3 (chord radius = 750 mm) which is 6.41% higher than that of the conventional NACA 0018 profile of turbine vanes.",Energy Engineering
CO2 Hydrate Formation Kinetics in the Presence of TBAB,"The objective of the present work was to investigate the effect of TBAB concentration on the CO 2 hydrate formation kinetics. All the experiments were carried out at 280 K temperature, 3.0 MPa pressure, and 300 RPM. Four different TBAB concentrations (5.0, 10.0, 19.0, and 32.0 wt.%) were used to evaluate the performance of the TBAB promoter during CO 2 hydrate formation. Reactor temperature profile, induction time, and gas consumption were studied for the different TBAB concentrations. The reactor temperature increased with an increase in the TBAB concentration and reached its maximum temperature (285.8 K) at 32.0 wt% TBAB concentration. The induction time follows an inversely proportional relationship with TBAB concentration. The lowest induction time was reported at the highest TBAB concentration. The gas consumption rises with the increasing TBAB concentration up to 10.0 wt%. However, a further increase in TBAB concentration resulted in a decrease in gas consumption. The hydrate slurry was formed in a less concentrated TBAB solution, whereas the highly concentrated TBAB solution formed a solid hydrate.",Energy Engineering
"Implications of Time-of-Day Tariff Policy on Residential Consumers with Grid-Connected Rooftop Solar PV Systems in Ahmedabad, India","In June 2023, the Government of India announced that a time-of-day (ToD) tariff policy would be implemented for electricity consumers by April 2025. The notification proposes time-differentiated billing based on three periods: peak period, normal tariff period, and solar hours. This paper examines the implications of the proposed ToD tariff policy on the electricity bills of residential consumers having grid-connected rooftop photovoltaic (PV) systems by analyzing the changes in their energy charges. The hourly residential electricity consumption data for the year 2018 are collected from the National Energy End-use Monitoring (NEEM) dashboard. A grid-connected rooftop PV system is simulated with the help of System Advisor Model (SAM) software to get the hourly generation data. The energy charges are calculated for four households to understand the potential impact of implementing the ToD tariff policy. The study concludes that the design of ToD tariff (charges/rebates) has the potential to influence the projected savings of the consumers having grid-connected rooftop PV systems. The impact can be neutralized by providing additional incentives for surplus exported electricity. If the consumers with grid-connected rooftop PV systems are penalized more than other consumers because of the ToD tariff, it may jeopardize the ongoing efforts of the central and state governments to accelerate the deployment of the grid-connected solar PV systems.",Energy Engineering
Adsorption of Light Oil on Rock Surfaces: A Molecular Dynamics Study,"Enhanced oil recovery techniques use extracting fluids such as brine, polymers, or surfactants to recover the residual oil from the reservoirs. A limited molecular-level understanding of oil−rock interactions hinders the development of novel injecting fluids for efficient crude oil extraction. In this study, we used molecular dynamics simulations to investigate the structure and energetics of light oil (dodecane) near the carbonate, clay-type, and sandstone reservoirs modeled using calcite, mica, and silica surfaces, respectively. We observed several layers of light oil adjacent to the rock surface with a strong bound layer on the calcite surface. We found epitaxial adsorption of light oil on the calcite surface, whereas less structured adsorption was observed on the mica and silica surfaces. Further, the distinctive adsorption pattern observed on each rock surface is governed by a specific surface atom (calcium on calcite, potassium on mica, and hydroxylated oxygen on silica). Hence, to delaminate the oil from the surface, the effect of such an influencing ion should be compensated with another ion or solvent that weakens the structuring.",Energy Engineering
Development and Performance Evaluation of a Desiccant-Aided Evaporative Cooling System with Solar Regeneration for Dry Regions: Comparative Analysis and Feasibility Study,"This research attempts to develop a Desiccant-Aided Evaporative Cooling (DAEC) unit designed explicitly for arid climates by incorporating desiccation using silica gel. The study blends theoretical analysis with real-world testing in Jodhpur, Rajasthan, to adjust indoor temperature and humidity for greater comfort. The system's efficacy, which varied from 80 to 85% over several days, is highlighted by a comparison with previous research, and parametric tests investigate performance aspects. A demonstration of a feasibility index of 20.7 highlights this approach's ease of use and effectiveness in arid settings, in contrast to earlier studies that concentrated on highly humid environments.",Energy Engineering
Optimization of Roughness Parameter of Artificially Roughed Solar Air Heater,"Solar air heaters are simple and cost-effective devices that harness freely available energy from the sun. However, their efficiency is limited by the low coefficient of heat of air. To improve their performance, many techniques have been applied, with one common approach being the use of artificially rough absorber plates. Nonetheless, designing the artificial roughness and selecting appropriate operating parameters to achieve higher heat transfer rates and lower friction factors can be quite challenging. In this study, the researchers aimed to optimize the roughness parameters and operating parameter to enhance the thermal performance of a solar air heater duct with artificially roughened surfaces. The Taguchi methodology was employed for this purpose. Through this approach, the researchers successfully identified the optimal roughness and operating parameters that lead to the desired performance levels. The operating parameter considered in the study was the Reynolds number, while the roughness parameters included Relative roughness height and Relative roughness pitch.",Energy Engineering
A Novel Explore—Harvest Monte Carlo Algorithm for Dynamic Reconfiguring PV Array-Based Electric Vehicles,"The globe is currently experiencing a serious energy crisis in all sectors, but the energy constraint is most acute in the auto mobility sector for fossil fuel-powered automobiles. This energy problem will be significantly alleviated by the current trend of electric vehicle reintroductions to the market, which will also assist to cut carbon emissions. There is a lot of research carried out to increase the efficiency and mileage of electric vehicles. Mounting a photovoltaic array to a moving vehicle may be a practical way to both assist in propulsion and completely utilize solar energy when driving throughout the day. This technique will work best when applied to larger vehicles with more surface area, including buses, trams, cruise ships, low altitude aircrafts, etc. A proposal is made for the dynamic reconfiguration of a photovoltaic array mounted on a moving vehicle under partial shading conditions, utilizing a fast and efficient novel algorithm.",Energy Engineering
Experimental Investigation for Drying Solanum Tuberosum (Potatoes) in Solar Air Dryer,"Most developing countries cannot solve their food problems due to increased population, which directly impacts food balance because of poor processing techniques, storage facilities and quantity of food deterioration. To maintain this balance, crop drying is essential to preserve fruits and other fresh food from spoilage and harmful bacteria. Crop drying can be done in many ways, using an artificial mechanical dryer or under the open sun. The first method uses fossil fuel, which is very costly and will be depleted in the future, harming the environment. The second method depends upon the weather conditions. By contrast, solar dryers are cheaper and more efficient, including protection from flies, pets, rain or dust. In developing countries, solar dryers fulfil the demand for good quality and low-cost food by using a sustainable energy source. A direct solar dryer was used in the present work, and potatoes were dried. The moisture content of potatoes is from 75%–15.6%. The results show that the most influential factors affecting the drying rate are temperature and air velocity inside the dryer. Pre-treatment plays an essential role in drying by increasing the drying rate and reducing drying time. The pre-treated product dried earlier and the original texture of the potatoes were retained after drying.",Energy Engineering
Analysis of Evaporative Cooling Characteristics in Variable Cross-Section Clay Pipes with Staggered and Aligned Orientations,"Human comfort difficulties are being brought on by global warming and industrialization. For developing countries with low per capita incomes, evaporative cooling is a cost-effective and environmentally benign option. In order to reduce their environmental impact and help regional farmers and craftspersons, researchers are looking at use of natural materials like clay jars and cooling pads made of natural fibers. The direct evaporative cooling system was experimentally investigated utilizing porous variable cross-section spheroidal clay pipes (SCP). The experimental controlled parameter was inlet air velocity in the range of 2–9 m/s, for both aligned and staggered configurations of SCP. The thermosyphon concept was used to ensure that water would flow through SCP. The investigated parameters were exit air and water temperature, pressure, humidity, and velocity. The water side temperature and water level were monitored to assess mass consumption. Performance metrics including temperature drop, increase in relative humidity, saturation efficiency, and coefficient of performance were assessed. Comparisons were made between the experimental outcomes for aligned and staggered orientation. This study examines how air velocity affects the temperature decrease and humidity of air using SCP. Results showed that staggered positions have a 21.2% higher temperature drop and 9.5% higher humidity compared to aligned position. Also, 20.6% rise in saturation efficiency and 0.17 kW increase in cooling effectiveness for staggered positions. Thermosyphon water circulation reduces pump energy consumption resulting in increase of COP by 1.66. The maximum pressure drops were 2.5 mm and 3 mm of water for aligned and staggered positions, respectively. The experimental investigations conclude that the use of SCP in direct evaporative cooling systems is the promising material for high performance and energy savings.",Energy Engineering
Numerical Analysis to Optimize the Corrugation Angle of Pentagonal Corrugated Absorber Plate of Solar Air Collector in an Indirect Solar Dryer for Enhanced Heat Transfer Characteristics,"A two-dimensional numerical analysis was conducted to optimize the corrugation angle of a pentagonal corrugated absorber plate in the solar air collector of an indirect solar dryer for maximizing thermo-hydraulic performance parameter ( T hpp ) to obtain enhanced heat transfer characteristics. A total of 60 simulations were performed in ANSYS FLUENT 2023 R1 using the SIMPLE algorithm and RNG k – ε model for evaluating the governing equations. Design parameters considered for the analysis were corrugation angle ( α ), height ( e ), pitch ( p ), and Reynolds number (Re). The corrugation angle ( α ) was varied from 10 to 37.5° with an interval of 2.5° for a fixed corrugation pitch, p = 150 mm and corrugation height, e = 10 mm. Reynolds number (Re) was varied from 1800 to 15,000 for all values of α and performance parameters such as Nusselt number (Nu), friction factor ( f ), Nusselt number ratio (Nu ratio), friction factor ratio ( f ratio), and thermo-hydraulic performance parameter ( T hpp ) were estimated and an optimum value of α was proposed for the specified range of Re. It was found that the Nu ratio varied from 1.997 to 3.126 which implies that the heat transfer was enhanced up to 3.126 times as compared to flat absorber plate. Maximum T hpp was found for α = 35° ( T hpp = 1.827) at Re = 1800, however, the maximum T hpp occurred at α = 35° only for Re = 1800 and 4440, whereas for Re = 7080, 12,360, and 15,000, maximum T hpp was found at α = 15°. Wind speed varies significantly in everyday use, and thus an α that provides maximum T hpp for a wider range of Re would be more beneficial. Hence, the optimum corrugation angle ( α ) is proposed as α = 15° as it provides better overall performance for the ISD.",Energy Engineering
Experimental Evaluation of a Falling Film Liquid Desiccant Cooling System with Solar Assistance,"The need to maintain human thermal comfort and the current air-conditioning systems’ high-power consumption has led researchers to search for an alternate dehumidification solution. The liquid desiccant dehumidification system has emerged as one of the promising alternatives as a long-term renewable and power-efficient technology because of its effective humidity-controlling capacity. The dehumidifier and regenerator are the primary components of the liquid desiccant cooling system. In the current study, the experimental analysis is performed on solar-assisted falling film liquid desiccant cooling system using CaCl 2 solution as a liquid desiccant. The regenerator of the current study is using hot water from the marquise-shaped flat-plate collector to regenerate the diluted solution. The performance parameters for the current system are dehumidification rate and cooling capacity, and performance is evaluated by altering the solution volume flow rate and solution concentration. According to experimental results, the dehumidification rate and cooling capacity are shown to rise with increasing solution volume flow rate and solution concentration, and the maximum dehumidification rate and cooling capacity are achieved at 12.5 LPM solution volume flow rate and 37% solution concentration.",Energy Engineering
Tariff Structures for Residential Electricity Consumption in India: an Analysis of Disparities and Effect on Consumption,"Residential electricity consumption in India constitutes about 25% of the total electricity consumption and is poised to grow significantly in the coming decades. Electricity tariff is one of the many factors affecting residential electricity consumption. This paper examines the process of setting of the residential tariff structures in different states of India by respective agencies. Data from regulatory bodies are used to compare the tariff structures of different states and bring out significant differences. Further, the affordability of electricity in different states is compared using different levels of average household electricity consumption. The results indicate that states like Rajasthan have very high electricity tariff, which hampers the affordability of electricity, especially for the lower social strata. The Indian states have been divided into various ranges of tariff and consumption which shows the relationship between tariff structure and residential electricity consumption.",Energy Engineering
Performance of Bifacial Lead-Free All-Perovskite Tandem Solar Cell for Indoor Applications,"The concept of bifacial tandem solar cell (BTSC) design, allowing light to penetrate the device from both its front and back surfaces, has proven to be a potent strategy for enhancing power conversion efficiency (PCE). In this study, we present the performance evaluation of a novel \({\text {MAGeI}_{3}}\) —2D/3D \({\text {FASnI}_{3}}\) BTSC configuration. The BTSC was concurrently illuminated with AM1.5G solar spectrum from the front surface, while being exposed to various artificial light sources from the back surface. Comprehensive combinations of these artificial lighting conditions were also employed to explore their influence on BTSC performance. Using Silvaco TCAD software, the device architecture was thoroughly optimized. At optimized thicknesses of 130 nm for \({\text {MAGeI}_{3}}\) and 620 nm for 2D/3D \({\text {FASnI}_{3}}\) , the lead-free all-perovskite BTSC (LPBTSC) displayed an impressive peak PCE of 30.29%. This PCE was obtained under simultaneous AM1.5G solar spectrum and halogen lighting illumination. In addition, the LPBTSC was able to achieve an impressive optimum PCE of 58.28% by utilizing an innovative strategy. This remarkable result was observed when blue and white LED sources simultaneously illuminated the device’s front and rear surfaces. The output power density of the LPBTSC falls within the range of 1–29 mW cm \(^{-2}\) , which is sufficient for serving as an effective energy harvester for Internet of Things (IoT) and indoor applications, all while maintaining low fabrication costs. This study underscores the immense potential of bifacial tandem solar cells in effectively harnessing a diverse array of lighting conditions, offering promising prospects for various practical applications.",Energy Engineering
